full_sun_brightness,shade_brightness,temp_sun,temp_shade
753,129,114.13,97.7
753,130,114.57,97.7
752,128,114.69,97.7
752,129,114.8,97.7
751,129,114.91,97.7
751,127,115.36,97.7
751,127,115.7,97.7
750,125,116.26,97.7
750,125,116.71,97.7
749,126,117.16,97.7
749,128,117.61,97.7
749,125,117.95,97.7
748,126,118.17,97.7
748,128,118.63,98.6
748,127,119.07,98.6
747,127,119.52,98.6
747,125,119.97,98.6
746,121,120.42,98.6
746,120,120.65,98.6
746,119,121.1,98.6
745,118,121.55,98.6
745,118,121.89,98.6
745,119,122.11,98.6
744,123,122,98.6
744,124,122.34,98.6
744,123,122.56,98.6
744,125,121.89,98.6
744,124,121.77,98.6
744,125,122.22,98.6
744,124,122.56,98.6
743,125,123.13,99.5
743,125,123.57,99.5
742,125,123.46,99.5
742,124,123.46,99.5
742,124,123.57,99.5
742,124,123.8,99.5
742,124,123.8,99.5
741,123,124.25,99.5
741,123,124.47,99.5
741,123,124.36,99.5
741,122,124.25,99.5
741,123,124.02,99.5
741,124,124.25,99.5
740,123,124.02,98.6
740,122,124.14,98.6
740,120,124.36,98.6
739,121,124.7,98.6
739,121,125.04,98.6
739,122,125.15,98.6
739,122,125.15,98.6
738,122,125.38,99.5
738,121,125.71,99.5
738,122,126.05,99.5
738,122,126.27,99.5
737,122,126.61,99.5
737,122,126.95,99.5
737,123,126.72,99.5
737,123,126.95,99.5
736,123,126.84,99.5
736,122,126.84,99.5
736,122,126.95,99.5
736,122,127.06,100.4
736,123,127.4,100.4
735,123,127.74,100.4
735,124,127.51,100.4
735,123,127.96,100.4
735,122,128.19,100.4
734,122,128.52,100.4
734,123,128.98,100.4
734,123,129.42,100.4
734,122,129.09,100.4
734,122,128.86,100.4
733,123,128.75,100.4
733,122,128.75,100.4
733,117,128.41,100.4
733,118,128.64,100.4
733,117,128.75,100.4
733,117,128.98,99.5
733,116,128.86,99.5
733,116,128.98,99.5
733,114,128.75,99.5
733,113,128.07,99.5
733,113,127.74,99.5
733,113,127.63,99.5
733,114,127.74,99.5
733,114,128.07,99.5
733,113,128.07,99.5
733,117,127.85,99.5
732,117,127.74,99.5
733,116,127.51,99.5
733,116,126.95,99.5
733,116,126.72,99.5
733,116,126.5,99.5
733,116,126.05,99.5
732,116,125.82,99.5
732,117,125.82,99.5
732,118,125.82,99.5
732,119,125.94,99.5
732,119,126.5,100.4
731,118,126.72,100.4
731,119,126.05,100.4
731,119,125.94,100.4
731,120,125.94,100.4
731,120,126.16,100.4
731,120,126.27,100.4
731,120,126.5,100.4
731,120,126.72,100.4
731,120,127.4,101.3
730,120,127.74,101.3
730,120,128.3,101.3
